"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상"
"서울특별시  (1100000000)","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648"
"서울특별시 종로구 (1111000000)","151,290","151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000","253","73,746","73,746","4,143","5,932","11,684","10,086","11,222","12,932","9,486","5,552","2,274","353","82","77,544","77,544","4,068","5,816","11,888","10,290","11,855","12,782","9,642","6,986","3,399","647","171"
"서울특별시 중구 (1114000000)","126,171","126,171","7,389","7,308","18,473","20,662","18,491","20,956","16,948","10,380","4,542","835","187","61,910","61,910","3,758","3,722","8,937","10,344","9,408","10,663","8,453","4,636","1,676","252","61","64,261","64,261","3,631","3,586","9,536","10,318","9,083","10,293","8,495","5,744","2,866","583","126"
"서울특별시 용산구 (1117000000)","228,670","228,670","14,132","16,391","32,837","38,033","36,159","36,459","27,485","17,122","8,176","1,523","353","110,356","110,356","7,310","8,363","15,830","18,977","17,798","18,020","13,042","7,388","3,055","475","98","118,314","118,314","6,822","8,028","17,007","19,056","18,361","18,439","14,443","9,734","5,121","1,048","255"
"서울특별시 성동구 (1120000000)","300,889","300,889","21,983","21,435","45,985","50,964","47,169","48,446","35,133","20,424","8,014","1,102","234","147,273","147,273","11,226","10,733","22,759","25,122","23,710","24,243","17,031","9,093","2,989","303","64","153,616","153,616","10,757","10,702","23,226","25,842","23,459","24,203","18,102","11,331","5,025","799","170"
"서울특별시 광진구 (1121500000)","351,350","351,350","21,657","27,573","61,751","58,175","54,490","55,638","40,451","21,943","8,262","1,205","205","170,262","170,262","11,115","14,060","29,386","28,756","26,886","27,147","19,274","10,097","3,166","332","43","181,088","181,088","10,542","13,513","32,365","29,419","27,604","28,491","21,177","11,846","5,096","873","162"
"서울특별시 동대문구 (1123000000)","346,194","346,194","22,115","25,227","55,028","51,458","52,463","54,608","44,789","27,942","10,763","1,525","276","172,113","172,113","11,361","12,792","27,777","26,673","27,052","27,424","21,627","12,597","4,275","455","80","174,081","174,081","10,754","12,435","27,251","24,785","25,411","27,184","23,162","15,345","6,488","1,070","196"
"서울특별시 중랑구 (1126000000)","397,015","397,015","24,712","28,532","56,251","59,522","59,315","70,861","54,979","30,337","10,805","1,515","186","196,959","196,959","12,733","14,594","28,185","30,761","30,550","35,033","26,722","13,833","4,155","352","41","200,056","200,056","11,979","13,938","28,066","28,761","28,765","35,828","28,257","16,504","6,650","1,163","145"
"서울특별시 성북구 (1129000000)","442,650","442,650","30,994","39,102","66,270","62,041","72,541","69,841","53,047","33,198","13,357","1,896","363","214,437","214,437","15,859","19,980","32,366","30,843","35,847","34,323","25,035","14,451","5,147","491","95","228,213","228,213","15,135","19,122","33,904","31,198","36,694","35,518","28,012","18,747","8,210","1,405","268"
"서울특별시 강북구 (1130500000)","313,954","313,954","17,420","23,660","43,350","41,035","48,929","53,606","44,177","29,587","10,557","1,399","234","153,235","153,235","8,960","12,188","21,376","21,525","25,002","26,064","20,609","12,921","4,142","390","58","160,719","160,719","8,460","11,472","21,974","19,510","23,927","27,542","23,568","16,666","6,415","1,009","176"
